지표명,구분유형,sex,agegroup,값,단위,se,n,출처,통합연도
EQ5D_통증문제,전체,,,38.0,%,0.005399904540492006,10917.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별,1.0,,32.0,%,0.0077640192916413895,4708.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별,2.0,,44.0,%,0.0070963578480017645,6209.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,19-29,20.8,%,0.012796303103674491,1308.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,30-39,28.2,%,0.012562990188468516,1294.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,40-49,38.0,%,0.013280547041259872,1772.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,50-59,43.8,%,0.01334760029710879,2013.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,60-69,45.1,%,0.011770678396317857,2325.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,연령대,,70+,53.3,%,0.012497608488006403,2205.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,19-29,17.3,%,0.01643662638123423,593.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,30-39,27.8,%,,582.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,40-49,35.5,%,0.01950608359976198,733.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,50-59,36.4,%,0.020372819678096045,847.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,60-69,36.1,%,0.01791470913610974,998.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,1.0,70+,41.2,%,0.017211396616274313,955.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,19-29,24.7,%,,715.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,30-39,28.6,%,,712.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,40-49,40.6,%,0.016520763806281456,1039.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,50-59,51.2,%,0.015512692861645997,1166.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,60-69,53.7,%,0.01563338519150264,1327.0,KNHANES 제9기,2022+2024
EQ5D_통증문제,성별×연령대,2.0,70+,62.1,%,0.015448440500969048,1250.0,KNHANES 제9기,2022+2024
