year,income_now,income_first,is_first_job,job_major,satis_overall,satis_growth,health,life_satis,happy_last_month,quit_reason_first,move_reason_1,changed_job,income_change_pct,income_up,income_down
2020,230.0,200.0,2.0,3.0,5.0,5.0,4.0,7.0,6.0,1.0,,1.0,15.0,1,0
2020,280.0,270.0,2.0,3.0,4.0,4.0,4.0,5.0,5.0,1.0,,1.0,3.7037037037037033,1,0
2020,260.0,260.0,2.0,3.0,2.0,4.0,2.0,2.0,3.0,1.0,,1.0,0.0,0,0
2020,250.0,230.0,2.0,3.0,4.0,4.0,2.0,6.0,5.0,1.0,,1.0,8.695652173913043,1,0
2020,220.0,200.0,2.0,3.0,4.0,5.0,4.0,7.0,7.0,1.0,,1.0,10.0,1,0
2020,270.0,270.0,2.0,3.0,5.0,5.0,2.0,3.0,6.0,1.0,,1.0,0.0,0,0
2020,210.0,220.0,2.0,3.0,4.0,4.0,3.0,6.0,6.0,1.0,,1.0,-4.545454545454546,0,1
2020,210.0,230.0,2.0,3.0,5.0,5.0,5.0,7.0,7.0,1.0,,1.0,-8.695652173913043,0,1
2020,200.0,50.0,2.0,2.0,4.0,4.0,4.0,6.0,5.0,11.0,,1.0,300.0,1,0
2020,240.0,220.0,2.0,2.0,4.0,3.0,3.0,5.0,5.0,11.0,10.0,1.0,9.090909090909092,1,0
2020,300.0,200.0,2.0,8.0,4.0,3.0,5.0,7.0,5.0,7.0,,1.0,50.0,1,0
2020,230.0,205.0,2.0,1.0,3.0,5.0,3.0,6.0,4.0,11.0,,1.0,12.195121951219512,1,0
2020,170.0,160.0,2.0,6.0,4.0,3.0,3.0,3.0,2.0,5.0,,1.0,6.25,1,0
2020,150.0,85.0,2.0,9.0,1.0,3.0,3.0,4.0,1.0,1.0,1.0,1.0,76.47058823529412,1,0
2020,180.0,179.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,11.0,,1.0,0.5586592178770949,1,0
2020,175.0,150.0,2.0,1.0,2.0,2.0,2.0,7.0,6.0,4.0,,1.0,16.666666666666664,1,0
2020,57.0,250.0,2.0,5.0,4.0,2.0,3.0,4.0,3.0,10.0,2.0,1.0,-77.2,0,1
2020,200.0,270.0,2.0,7.0,3.0,4.0,3.0,5.0,6.0,5.0,,1.0,-25.925925925925924,0,1
2020,215.0,200.0,2.0,7.0,4.0,4.0,4.0,6.0,6.0,10.0,,1.0,7.5,1,0
2020,310.0,200.0,2.0,9.0,3.0,4.0,4.0,5.0,2.0,10.0,,1.0,55.00000000000001,1,0
2020,275.0,200.0,2.0,1.0,4.0,4.0,4.0,5.0,5.0,10.0,,1.0,37.5,1,0
2020,200.0,220.0,2.0,1.0,3.0,3.0,4.0,5.0,4.0,10.0,14.0,1.0,-9.090909090909092,0,1
2020,190.0,130.0,2.0,6.0,4.0,3.0,4.0,5.0,5.0,4.0,5.0,1.0,46.15384615384615,1,0
2020,250.0,180.0,2.0,2.0,2.0,1.0,5.0,3.0,4.0,1.0,1.0,1.0,38.88888888888889,1,0
2020,189.0,180.0,2.0,1.0,2.0,2.0,4.0,5.0,5.0,7.0,11.0,1.0,5.0,1,0
2020,250.0,100.0,2.0,3.0,3.0,4.0,4.0,5.0,5.0,8.0,5.0,1.0,150.0,1,0
2020,190.0,57.0,2.0,1.0,5.0,3.0,4.0,2.0,3.0,8.0,,1.0,233.33333333333334,1,0
2020,162.0,64.0,2.0,1.0,4.0,4.0,4.0,5.0,6.0,1.0,1.0,1.0,153.125,1,0
2020,250.0,250.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,5.0,,1.0,0.0,0,0
2020,179.0,180.0,2.0,3.0,3.0,2.0,4.0,6.0,6.0,1.0,5.0,1.0,-0.5555555555555556,0,1
2020,191.0,200.0,2.0,1.0,4.0,4.0,4.0,5.0,6.0,11.0,5.0,1.0,-4.5,0,1
2020,200.0,190.0,2.0,1.0,3.0,4.0,4.0,5.0,6.0,11.0,,1.0,5.263157894736842,1,0
2020,80.0,160.0,2.0,1.0,3.0,4.0,2.0,3.0,5.0,1.0,,1.0,-50.0,0,1
2020,205.0,150.0,2.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,5.0,1.0,36.666666666666664,1,0
2020,200.0,250.0,2.0,3.0,1.0,3.0,4.0,6.0,5.0,5.0,9.0,1.0,-20.0,0,1
2020,90.0,150.0,2.0,4.0,5.0,4.0,4.0,6.0,6.0,3.0,,1.0,-40.0,0,1
2020,190.0,190.0,2.0,1.0,2.0,2.0,3.0,5.0,5.0,5.0,,1.0,0.0,0,0
2020,300.0,200.0,2.0,5.0,4.0,4.0,5.0,6.0,5.0,1.0,,1.0,50.0,1,0
2020,180.0,160.0,2.0,4.0,3.0,2.0,4.0,5.0,5.0,1.0,5.0,1.0,12.5,1,0
2020,250.0,60.0,2.0,1.0,3.0,2.0,3.0,5.0,6.0,11.0,10.0,1.0,316.66666666666663,1,0
2020,120.0,56.0,2.0,6.0,2.0,1.0,4.0,5.0,5.0,8.0,,1.0,114.28571428571428,1,0
2020,220.0,170.0,2.0,4.0,3.0,3.0,3.0,3.0,5.0,11.0,10.0,1.0,29.411764705882355,1,0
2020,160.0,85.0,2.0,1.0,4.0,4.0,2.0,2.0,5.0,6.0,14.0,1.0,88.23529411764706,1,0
2020,220.0,180.0,2.0,7.0,3.0,4.0,4.0,6.0,7.0,11.0,,1.0,22.22222222222222,1,0
2020,90.0,120.0,2.0,3.0,3.0,3.0,3.0,4.0,5.0,11.0,6.0,1.0,-25.0,0,1
2020,200.0,120.0,2.0,3.0,4.0,4.0,4.0,6.0,6.0,11.0,,1.0,66.66666666666666,1,0
2020,160.0,90.0,2.0,7.0,3.0,3.0,4.0,5.0,6.0,13.0,,1.0,77.77777777777779,1,0
2020,425.0,333.0,2.0,1.0,5.0,4.0,4.0,7.0,6.0,11.0,,1.0,27.627627627627625,1,0
2020,100.0,100.0,2.0,8.0,4.0,3.0,3.0,2.0,2.0,4.0,,1.0,0.0,0,0
2020,130.0,150.0,2.0,3.0,4.0,3.0,4.0,6.0,6.0,1.0,5.0,1.0,-13.333333333333334,0,1
2020,214.0,200.0,2.0,5.0,3.0,4.0,3.0,6.0,6.0,5.0,1.0,1.0,7.000000000000001,1,0
2020,250.0,200.0,2.0,1.0,3.0,5.0,3.0,6.0,4.0,11.0,,1.0,25.0,1,0
2020,200.0,175.0,2.0,1.0,2.0,3.0,2.0,2.0,2.0,5.0,,1.0,14.285714285714285,1,0
2020,190.0,190.0,2.0,1.0,3.0,1.0,4.0,7.0,5.0,4.0,1.0,1.0,0.0,0,0
2020,307.0,180.0,2.0,1.0,2.0,1.0,4.0,5.0,7.0,1.0,3.0,1.0,70.55555555555556,1,0
2020,325.0,300.0,2.0,1.0,4.0,4.0,4.0,6.0,5.0,11.0,,1.0,8.333333333333332,1,0
2020,280.0,256.0,2.0,1.0,4.0,4.0,4.0,4.0,4.0,11.0,,1.0,9.375,1,0
2020,190.0,170.0,2.0,1.0,3.0,3.0,4.0,7.0,6.0,1.0,,1.0,11.76470588235294,1,0
2020,200.0,200.0,2.0,1.0,3.0,2.0,5.0,7.0,4.0,3.0,,1.0,0.0,0,0
2020,350.0,250.0,2.0,1.0,4.0,4.0,4.0,6.0,4.0,11.0,,1.0,40.0,1,0
2020,60.0,140.0,2.0,1.0,3.0,3.0,4.0,6.0,7.0,1.0,,1.0,-57.14285714285714,0,1
2020,240.0,210.0,2.0,7.0,3.0,3.0,3.0,3.0,3.0,11.0,,1.0,14.285714285714285,1,0
2020,190.0,210.0,2.0,4.0,3.0,4.0,5.0,6.0,6.0,14.0,,1.0,-9.523809523809524,0,1
2020,266.0,200.0,2.0,1.0,3.0,1.0,3.0,4.0,3.0,3.0,1.0,1.0,33.0,1,0
2020,230.0,170.0,2.0,1.0,2.0,2.0,4.0,7.0,6.0,2.0,2.0,1.0,35.294117647058826,1,0
2020,200.0,182.0,2.0,1.0,4.0,3.0,4.0,6.0,5.0,11.0,1.0,1.0,9.89010989010989,1,0
2020,189.0,150.0,2.0,1.0,3.0,1.0,5.0,6.0,6.0,5.0,5.0,1.0,26.0,1,0
2020,70.0,185.0,2.0,6.0,3.0,2.0,5.0,4.0,2.0,5.0,8.0,1.0,-62.16216216216216,0,1
2020,120.0,240.0,2.0,1.0,3.0,1.0,3.0,5.0,4.0,3.0,1.0,1.0,-50.0,0,1
2020,170.0,180.0,2.0,1.0,2.0,2.0,4.0,5.0,4.0,11.0,5.0,1.0,-5.555555555555555,0,1
2020,150.0,190.0,2.0,1.0,4.0,5.0,4.0,6.0,4.0,11.0,,1.0,-21.052631578947366,0,1
2020,170.0,200.0,2.0,6.0,3.0,3.0,4.0,1.0,1.0,11.0,,1.0,-15.0,0,1
2020,100.0,140.0,2.0,1.0,4.0,3.0,3.0,3.0,3.0,4.0,1.0,1.0,-28.57142857142857,0,1
2020,210.0,134.0,2.0,6.0,2.0,3.0,4.0,5.0,6.0,13.0,2.0,1.0,56.71641791044776,1,0
2020,170.0,180.0,2.0,1.0,4.0,3.0,4.0,5.0,6.0,14.0,,1.0,-5.555555555555555,0,1
2020,210.0,100.0,2.0,1.0,3.0,2.0,2.0,4.0,3.0,1.0,1.0,1.0,110.00000000000001,1,0
2020,160.0,100.0,2.0,1.0,4.0,4.0,4.0,5.0,6.0,10.0,2.0,1.0,60.0,1,0
2020,270.0,200.0,2.0,5.0,4.0,4.0,4.0,5.0,5.0,4.0,14.0,1.0,35.0,1,0
2020,300.0,250.0,2.0,1.0,4.0,4.0,3.0,5.0,5.0,11.0,,1.0,20.0,1,0
2020,300.0,270.0,2.0,1.0,5.0,4.0,4.0,7.0,6.0,11.0,,1.0,11.11111111111111,1,0
2020,280.0,230.0,2.0,1.0,3.0,3.0,4.0,4.0,5.0,4.0,,1.0,21.73913043478261,1,0
2020,170.0,175.0,2.0,1.0,3.0,3.0,4.0,6.0,7.0,10.0,4.0,1.0,-2.857142857142857,0,1
2020,500.0,150.0,2.0,7.0,3.0,4.0,5.0,7.0,7.0,1.0,,1.0,233.33333333333334,1,0
2020,200.0,200.0,2.0,1.0,4.0,4.0,3.0,4.0,4.0,7.0,,1.0,0.0,0,0
2020,333.0,300.0,2.0,1.0,3.0,4.0,5.0,7.0,4.0,11.0,,1.0,11.0,1,0
2020,200.0,250.0,2.0,2.0,4.0,5.0,5.0,6.0,5.0,7.0,,1.0,-20.0,0,1
2020,185.0,80.0,2.0,1.0,3.0,4.0,3.0,3.0,3.0,6.0,,1.0,131.25,1,0
2020,160.0,180.0,2.0,3.0,5.0,5.0,5.0,5.0,5.0,1.0,,1.0,-11.11111111111111,0,1
2020,250.0,290.0,2.0,3.0,3.0,3.0,5.0,6.0,6.0,1.0,1.0,1.0,-13.793103448275861,0,1
2020,510.0,180.0,2.0,1.0,3.0,2.0,5.0,5.0,5.0,5.0,,1.0,183.33333333333331,1,0
2020,100.0,175.0,2.0,3.0,3.0,3.0,3.0,1.0,3.0,7.0,5.0,1.0,-42.857142857142854,0,1
2020,208.0,180.0,2.0,1.0,3.0,3.0,3.0,3.0,4.0,1.0,,1.0,15.555555555555555,1,0
2020,200.0,188.0,2.0,3.0,4.0,4.0,4.0,6.0,3.0,1.0,,1.0,6.382978723404255,1,0
2020,180.0,220.0,2.0,1.0,4.0,3.0,3.0,6.0,6.0,11.0,,1.0,-18.181818181818183,0,1
2020,220.0,220.0,2.0,2.0,4.0,4.0,3.0,5.0,5.0,5.0,,1.0,0.0,0,0
2020,195.0,227.0,2.0,1.0,4.0,4.0,3.0,5.0,3.0,10.0,,1.0,-14.096916299559473,0,1
2020,300.0,220.0,2.0,2.0,5.0,5.0,5.0,7.0,7.0,11.0,,1.0,36.36363636363637,1,0
2020,250.0,200.0,2.0,1.0,4.0,4.0,4.0,6.0,6.0,5.0,5.0,1.0,25.0,1,0
2020,160.0,168.0,2.0,6.0,1.0,1.0,2.0,4.0,5.0,1.0,5.0,1.0,-4.761904761904762,0,1
2020,200.0,200.0,2.0,1.0,4.0,4.0,4.0,4.0,5.0,1.0,5.0,1.0,0.0,0,0
2020,290.0,260.0,2.0,2.0,3.0,5.0,2.0,5.0,5.0,12.0,11.0,1.0,11.538461538461538,1,0
2020,270.0,220.0,2.0,3.0,4.0,3.0,4.0,5.0,5.0,4.0,,1.0,22.727272727272727,1,0
2020,300.0,230.0,2.0,5.0,4.0,3.0,4.0,6.0,6.0,11.0,,1.0,30.434782608695656,1,0
2020,150.0,180.0,2.0,1.0,4.0,2.0,4.0,4.0,3.0,1.0,5.0,1.0,-16.666666666666664,0,1
2020,210.0,235.0,2.0,5.0,3.0,3.0,5.0,5.0,3.0,6.0,3.0,1.0,-10.638297872340425,0,1
