person_id,wave,duration_months,event,age,sex,edu_level,occupation_raw,firm_size,emp_status,income_now,satis_stability,satis_growth
100120,4,50.0,0,27.0,2.0,4.0,,9.0,1.0,458.3333333333333,5.0,3.0
100121,1,15.0,0,26.0,1.0,4.0,,5.0,1.0,250.0,4.0,5.0
100123,1,35.0,0,25.0,1.0,3.0,,4.0,1.0,275.0,4.0,4.0
100125,1,25.0,1,23.0,2.0,2.0,,1.0,2.0,160.0,3.0,4.0
100126,1,15.0,1,24.0,2.0,4.0,,6.0,1.0,220.0,4.0,4.0
100126,4,25.0,0,27.0,2.0,4.0,,9.0,1.0,374.1666666666667,4.0,4.0
100127,4,62.0,0,29.0,2.0,4.0,,9.0,1.0,394.1666666666667,4.0,3.0
100128,2,34.0,1,25.0,2.0,4.0,,6.0,1.0,275.0,4.0,2.0
100128,4,4.0,0,27.0,2.0,4.0,,4.0,1.0,210.0,3.0,3.0
100129,1,29.0,1,25.0,1.0,3.0,,3.0,1.0,200.0,4.0,4.0
100129,4,18.0,0,28.0,1.0,3.0,,6.0,1.0,416.6666666666667,5.0,5.0
100130,2,62.0,1,29.0,1.0,4.0,,9.0,1.0,833.3333333333334,4.0,4.0
100130,4,4.0,0,31.0,1.0,4.0,0.0,3.0,1.0,833.3333333333334,2.0,4.0
100131,4,75.0,0,30.0,2.0,4.0,,2.0,1.0,290.0,4.0,4.0
100133,4,4.0,0,25.0,2.0,4.0,,8.0,1.0,380.0,4.0,4.0
100134,4,5.0,0,24.0,1.0,2.0,,2.0,2.0,80.0,3.0,3.0
100136,4,5.0,0,25.0,1.0,2.0,,2.0,1.0,173.79999999999998,3.0,3.0
100141,3,27.0,0,25.0,1.0,2.0,,1.0,5.0,180.0,4.0,4.0
100144,1,27.0,1,21.0,2.0,2.0,,2.0,2.0,40.0,5.0,5.0
100144,3,13.0,0,23.0,2.0,4.0,,2.0,2.0,120.0,3.0,4.0
100145,4,56.0,0,31.0,2.0,4.0,,6.0,1.0,370.0,4.0,3.0
100146,1,36.0,1,26.0,2.0,4.0,,2.0,1.0,200.0,4.0,3.0
100146,2,29.0,1,27.0,2.0,4.0,6.0,6.0,1.0,300.0,4.0,4.0
100147,1,13.0,1,24.0,1.0,2.0,,1.0,2.0,120.0,4.0,2.0
100147,3,7.0,0,26.0,1.0,2.0,,1.0,2.0,130.0,3.0,3.0
100148,1,12.0,1,25.0,2.0,4.0,,9.0,1.0,314.0,5.0,4.0
100148,3,15.0,0,27.0,2.0,4.0,,9.0,1.0,320.0,4.0,3.0
100149,1,12.0,1,20.0,2.0,2.0,,2.0,2.0,,3.0,3.0
100149,3,15.0,1,22.0,2.0,3.0,,4.0,1.0,173.79999999999998,3.0,3.0
100149,4,5.0,0,23.0,2.0,3.0,8.0,1.0,1.0,250.0,4.0,4.0
100150,4,33.0,0,28.0,2.0,4.0,,3.0,1.0,340.0,5.0,5.0
100151,4,39.0,0,30.0,1.0,4.0,,3.0,1.0,350.0,4.0,4.0
100152,4,57.0,0,29.0,2.0,3.0,,2.0,1.0,280.0,4.0,4.0
100153,4,93.0,0,27.0,2.0,2.0,,3.0,1.0,230.0,4.0,4.0
100154,1,43.0,1,24.0,1.0,2.0,,1.0,2.0,200.0,3.0,2.0
100154,4,15.0,0,27.0,1.0,4.0,,4.0,1.0,300.0,4.0,4.0
100155,4,27.0,0,26.0,2.0,3.0,,1.0,1.0,300.0,4.0,4.0
100156,4,109.0,0,29.0,2.0,2.0,,1.0,2.0,200.0,3.0,4.0
100157,4,104.0,0,28.0,2.0,2.0,,1.0,1.0,270.0,3.0,4.0
100158,1,51.0,1,20.0,2.0,2.0,,1.0,2.0,104.0,3.0,3.0
100158,4,1.0,0,23.0,2.0,3.0,,8.0,1.0,300.0,4.0,4.0
100159,4,73.0,0,26.0,2.0,2.0,,1.0,1.0,250.0,3.0,4.0
100162,2,7.0,0,22.0,1.0,2.0,,2.0,2.0,45.0,4.0,2.0
100163,3,20.0,0,27.0,1.0,4.0,,9.0,1.0,150.0,1.0,1.0
100164,2,3.0,0,25.0,1.0,2.0,,1.0,2.0,159.2008,3.0,3.0
100165,2,35.0,1,21.0,2.0,2.0,,8.0,2.0,50.0,4.0,3.0
100169,2,46.0,1,24.0,1.0,2.0,,8.0,2.0,60.0,4.0,3.0
100169,4,3.0,0,26.0,1.0,4.0,,8.0,2.0,180.0,4.0,5.0
100172,2,10.0,0,23.0,2.0,2.0,,5.0,2.0,173.79999999999998,3.0,4.0
100173,4,13.0,0,29.0,1.0,5.0,,5.0,1.0,458.3333333333333,4.0,4.0
100175,2,15.0,0,23.0,1.0,4.0,,3.0,1.0,170.0,4.0,4.0
100178,3,26.0,1,23.0,2.0,3.0,,4.0,1.0,200.0,3.0,4.0
100178,4,2.0,0,24.0,2.0,4.0,0.0,3.0,1.0,250.0,4.0,4.0
100179,1,11.0,1,21.0,2.0,3.0,,9.0,2.0,180.0,4.0,2.0
100181,1,35.0,1,22.0,2.0,2.0,,1.0,4.0,300.0,4.0,4.0
100181,4,18.0,0,25.0,2.0,3.0,,2.0,2.0,77.0,4.0,3.0
100182,1,19.0,1,23.0,2.0,3.0,,5.0,1.0,190.0,3.0,4.0
100183,2,27.0,0,24.0,1.0,2.0,,1.0,5.0,160.0,5.0,5.0
100187,3,41.0,1,29.0,1.0,4.0,,6.0,1.0,333.3333333333333,4.0,4.0
