age,birth_year,sex,school_type,major_cat,occupation,firm_size,is_regular,income_now,income_now_start,income_first,is_first_job,job_seq,satis_overall,satis_growth,health,life_satis,happy,quit_reason,move_reason,survey,survey_year,changed_job,income_base,income_change_pct,occupation_name,occupation_scheme
23.0,1997.0,2,1,2,1,,2,200.0,200.0,,1.0,,4.0,3.0,2.0,3.0,3.0,,5,GOMS,2019,0.0,200.0,0.0,경영·사무·금융·보험,KECO2018
22.833333333333332,1997.0,2,1,2,1,9,2,240.0,240.0,,1.0,,5.0,5.0,5.0,6.0,6.0,,5,GOMS,2019,0.0,240.0,0.0,경영·사무·금융·보험,KECO2018
23.583333333333332,1997.0,2,1,2,1,6,2,210.0,210.0,,1.0,,3.0,2.0,4.0,6.0,6.0,,1,GOMS,2019,0.0,210.0,0.0,경영·사무·금융·보험,KECO2018
22.0,1998.0,2,1,2,1,3,2,210.0,180.0,,1.0,,2.0,2.0,4.0,2.0,3.0,,2,GOMS,2019,0.0,180.0,16.666666666666664,경영·사무·금융·보험,KECO2018
26.083333333333332,1994.0,1,1,2,1,2,1,220.0,180.0,,1.0,,5.0,5.0,4.0,6.0,6.0,,,GOMS,2019,0.0,180.0,22.22222222222222,경영·사무·금융·보험,KECO2018
24.083333333333332,1996.0,2,1,2,7,1,2,150.0,150.0,,1.0,,3.0,1.0,2.0,2.0,4.0,,,GOMS,2019,0.0,150.0,0.0,영업·판매·운전·운송,KECO2018
26.833333333333332,1993.0,2,1,2,1,5,2,200.0,180.0,,1.0,,3.0,2.0,5.0,7.0,5.0,,5,GOMS,2019,0.0,180.0,11.11111111111111,경영·사무·금융·보험,KECO2018
23.166666666666668,1997.0,2,1,2,6,3,1,148.0,130.0,180.0,2.0,2.0,4.0,3.0,3.0,6.0,5.0,11,,GOMS,2019,1.0,180.0,-17.77777777777778,미용·여행·숙박·음식·경비·청소,KECO2018
24.166666666666668,1996.0,2,1,2,1,8,1,210.0,180.0,,1.0,,3.0,3.0,2.0,5.0,5.0,,,GOMS,2019,0.0,180.0,16.666666666666664,경영·사무·금융·보험,KECO2018
23.583333333333332,1997.0,2,1,2,5,2,1,230.0,160.0,200.0,2.0,2.0,5.0,4.0,2.0,2.0,6.0,5,,GOMS,2019,1.0,200.0,15.0,예술·디자인·방송·스포츠,KECO2018
22.75,1997.0,2,1,2,5,3,2,200.0,200.0,,1.0,,3.0,4.0,4.0,5.0,4.0,,,GOMS,2019,0.0,200.0,0.0,예술·디자인·방송·스포츠,KECO2018
23.916666666666668,1996.0,2,1,2,3,6,1,200.0,200.0,,1.0,,5.0,4.0,5.0,6.0,6.0,,,GOMS,2019,0.0,200.0,0.0,교육·법률·복지·공공,KECO2018
27.0,1993.0,1,1,2,1,3,1,250.0,250.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,250.0,0.0,경영·사무·금융·보험,KECO2018
22.916666666666668,1997.0,2,1,2,1,1,2,80.0,80.0,,1.0,,4.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,80.0,0.0,경영·사무·금융·보험,KECO2018
21.916666666666668,1998.0,2,1,2,9,7,1,280.0,280.0,,1.0,,3.0,3.0,3.0,5.0,3.0,,,GOMS,2019,0.0,280.0,0.0,설치·정비·생산,KECO2018
23.666666666666668,1997.0,2,1,2,1,8,1,240.0,240.0,,1.0,,5.0,4.0,4.0,6.0,6.0,,,GOMS,2019,0.0,240.0,0.0,경영·사무·금융·보험,KECO2018
24.833333333333332,1995.0,2,1,2,3,2,2,90.0,90.0,60.0,2.0,2.0,3.0,2.0,3.0,2.0,3.0,12,,GOMS,2019,1.0,60.0,50.0,교육·법률·복지·공공,KECO2018
