year,emp_type,ksic_section,industry,item,unit,value
2022,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,364.0
2022,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,4372.0
2023,전체근로자,A,"농업, 임업 및 어업",총근로일수,일,20.6
2023,전체근로자,A,"농업, 임업 및 어업",총근로시간,시간,160.5
2023,전체근로자,A,"농업, 임업 및 어업",소정실근로시간,시간,156.0
2023,전체근로자,A,"농업, 임업 및 어업",초과근로시간,시간,4.5
2023,전체근로자,A,"농업, 임업 및 어업",휴일근로시간,시간,2.1
2023,전체근로자,A,"농업, 임업 및 어업",시간당임금총액,원,19711.0
2023,전체근로자,A,"농업, 임업 및 어업",시간당정액급여,원,17690.0
2023,전체근로자,A,"농업, 임업 및 어업",월임금총액,천원,3104.0
2023,전체근로자,A,"농업, 임업 및 어업",월급여액,천원,2775.0
2023,전체근로자,A,"농업, 임업 및 어업",정액급여,천원,2693.0
2023,전체근로자,A,"농업, 임업 및 어업",초과급여,천원,83.0
2023,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,328.0
2023,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,3940.0
2024,전체근로자,A,"농업, 임업 및 어업",총근로일수,일,19.4
2024,전체근로자,A,"농업, 임업 및 어업",총근로시간,시간,152.2
2024,전체근로자,A,"농업, 임업 및 어업",소정실근로시간,시간,146.9
2024,전체근로자,A,"농업, 임업 및 어업",초과근로시간,시간,5.3
2024,전체근로자,A,"농업, 임업 및 어업",휴일근로시간,시간,2.6
2024,전체근로자,A,"농업, 임업 및 어업",시간당임금총액,원,21758.0
2024,전체근로자,A,"농업, 임업 및 어업",시간당정액급여,원,19661.0
2024,전체근로자,A,"농업, 임업 및 어업",월임금총액,천원,3193.0
2024,전체근로자,A,"농업, 임업 및 어업",월급여액,천원,2878.0
2024,전체근로자,A,"농업, 임업 및 어업",정액급여,천원,2788.0
2024,전체근로자,A,"농업, 임업 및 어업",초과급여,천원,90.0
2024,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,315.0
2024,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,3775.0
2025,전체근로자,A,"농업, 임업 및 어업",총근로일수,일,19.5
2025,전체근로자,A,"농업, 임업 및 어업",총근로시간,시간,154.2
2025,전체근로자,A,"농업, 임업 및 어업",소정실근로시간,시간,148.0
2025,전체근로자,A,"농업, 임업 및 어업",초과근로시간,시간,6.2
2025,전체근로자,A,"농업, 임업 및 어업",휴일근로시간,시간,3.0
2025,전체근로자,A,"농업, 임업 및 어업",시간당임금총액,원,22198.0
2025,전체근로자,A,"농업, 임업 및 어업",시간당정액급여,원,19985.0
2025,전체근로자,A,"농업, 임업 및 어업",월임금총액,천원,3311.0
2025,전체근로자,A,"농업, 임업 및 어업",월급여액,천원,2975.0
2025,전체근로자,A,"농업, 임업 및 어업",정액급여,천원,2864.0
2025,전체근로자,A,"농업, 임업 및 어업",초과급여,천원,111.0
2025,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여/12개월,천원,336.0
2025,전체근로자,A,"농업, 임업 및 어업",전년도 연간특별급여,천원,4035.0
2020,전체근로자,B,광업,총근로일수,일,22.9
2020,전체근로자,B,광업,총근로시간,시간,194.4
2020,전체근로자,B,광업,소정실근로시간,시간,175.1
2020,전체근로자,B,광업,초과근로시간,시간,19.3
2020,전체근로자,B,광업,휴일근로시간,시간,7.2
2020,전체근로자,B,광업,시간당임금총액,원,21561.0
2020,전체근로자,B,광업,시간당정액급여,원,18763.0
2020,전체근로자,B,광업,월임금총액,천원,4041.0
2020,전체근로자,B,광업,월급여액,천원,3635.0
2020,전체근로자,B,광업,정액급여,천원,3227.0
2020,전체근로자,B,광업,초과급여,천원,408.0
2020,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,405.0
2020,전체근로자,B,광업,전년도 연간특별급여,천원,4863.0
2021,전체근로자,B,광업,총근로일수,일,22.9
2021,전체근로자,B,광업,총근로시간,시간,191.7
2021,전체근로자,B,광업,소정실근로시간,시간,172.2
2021,전체근로자,B,광업,초과근로시간,시간,19.5
2021,전체근로자,B,광업,휴일근로시간,시간,7.2
2021,전체근로자,B,광업,시간당임금총액,원,22027.0
2021,전체근로자,B,광업,시간당정액급여,원,19506.0
2021,전체근로자,B,광업,월임금총액,천원,4084.0
2021,전체근로자,B,광업,월급여액,천원,3686.0
2021,전체근로자,B,광업,정액급여,천원,3302.0
2021,전체근로자,B,광업,초과급여,천원,384.0
2021,전체근로자,B,광업,전년도 연간특별급여/12개월,천원,399.0
2021,전체근로자,B,광업,전년도 연간특별급여,천원,4782.0
2022,전체근로자,B,광업,총근로일수,일,21.8
2022,전체근로자,B,광업,총근로시간,시간,180.0
2022,전체근로자,B,광업,소정실근로시간,시간,160.6
2022,전체근로자,B,광업,초과근로시간,시간,19.4
2022,전체근로자,B,광업,휴일근로시간,시간,8.7
2022,전체근로자,B,광업,시간당임금총액,원,24662.0
2022,전체근로자,B,광업,시간당정액급여,원,22058.0
2022,전체근로자,B,광업,월임금총액,천원,4298.0
2022,전체근로자,B,광업,월급여액,천원,3917.0
2022,전체근로자,B,광업,정액급여,천원,3487.0
2022,전체근로자,B,광업,초과급여,천원,430.0
