year,emp_type,ksic_section,industry,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2021,비정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",14026.0,131.7,176.4,172.5,164.1,8.4
2021,비정규근로자,P,교육 서비스업,24105.0,96.4,158.5,156.3,154.5,1.8
2021,비정규근로자,Q,보건업 및 사회복지서비스업,12958.0,107.1,136.3,134.8,131.7,3.1
2021,비정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",12151.0,114.0,136.8,136.0,132.3,3.7
2021,비정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",13964.0,105.8,138.0,135.8,134.4,1.4
2021,비정규근로자,전체,전체,15482.0,115.4,168.1,164.9,158.3,6.7
2021,비정규직근로자(특수형태포함),A,"농업, 임업 및 어업",,,181.9,175.2,167.5,7.8
2021,비정규직근로자(특수형태포함),B,광업,,,256.0,252.2,235.6,16.7
2021,비정규직근로자(특수형태포함),C,제조업,,,221.0,216.1,187.3,28.8
2021,비정규직근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,301.6,281.7,265.5,16.2
2021,비정규직근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,232.8,226.9,207.9,19.0
2021,비정규직근로자(특수형태포함),F,건설업,,,207.8,207.1,204.5,2.7
2021,비정규직근로자(특수형태포함),G,도매 및 소매업,,,153.5,152.3,149.7,2.6
2021,비정규직근로자(특수형태포함),H,운수 및 창고업,,,347.3,345.5,331.6,13.9
2021,비정규직근로자(특수형태포함),I,숙박 및 음식점업,,,98.4,98.0,95.7,2.3
2021,비정규직근로자(특수형태포함),J,정보통신업,,,226.8,222.2,219.2,3.0
2021,비정규직근로자(특수형태포함),K,금융 및 보험업,,,347.5,331.0,329.1,2.0
2021,비정규직근로자(특수형태포함),L,부동산업,,,198.3,197.2,193.2,4.0
2021,비정규직근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,256.1,249.0,243.0,6.0
2021,비정규직근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,193.0,189.6,182.6,7.0
2021,비정규직근로자(특수형태포함),P,교육 서비스업,,,176.9,175.5,174.4,1.1
2021,비정규직근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,135.2,133.7,130.8,2.9
2021,비정규직근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,183.4,182.8,180.1,2.6
2021,비정규직근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,165.1,163.6,162.6,1.0
2021,비정규직근로자(특수형태포함),전체,전체,,,187.9,185.3,179.8,5.5
2021,전체근로자,A,"농업, 임업 및 어업",19128.0,164.3,312.7,274.7,267.3,7.4
2021,전체근로자,B,광업,22027.0,191.7,408.4,368.6,330.2,38.4
2021,전체근로자,C,제조업,20796.0,185.3,381.3,335.5,299.8,35.7
2021,전체근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",35421.0,177.8,624.2,480.4,445.7,34.7
2021,전체근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",20643.0,185.3,377.4,349.0,317.6,31.3
2021,전체근로자,F,건설업,21773.0,135.2,289.1,278.8,270.8,7.9
2021,전체근로자,G,도매 및 소매업,18322.0,163.4,307.9,287.4,280.6,6.8
2021,전체근로자,H,운수 및 창고업,20019.0,169.1,333.1,302.6,278.0,24.7
2021,전체근로자,I,숙박 및 음식점업,11746.0,133.0,160.0,157.5,152.8,4.7
2021,전체근로자,J,정보통신업,24681.0,175.0,435.8,399.0,386.2,12.7
2021,전체근로자,K,금융 및 보험업,34395.0,176.2,604.2,459.6,446.0,13.6
2021,전체근로자,L,부동산업,15265.0,173.2,261.2,245.6,240.9,4.8
2021,전체근로자,M,"전문, 과학 및 기술 서비스업",25981.0,173.8,453.6,400.4,387.5,12.9
2021,전체근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",17575.0,168.4,296.0,274.9,261.0,13.8
2021,전체근로자,P,교육 서비스업,24335.0,138.7,303.7,286.2,282.0,4.3
2021,전체근로자,Q,보건업 및 사회복지서비스업,16211.0,157.1,260.3,250.2,240.6,9.6
2021,전체근로자,R,"예술, 스포츠 및 여가관련 서비스업",15189.0,149.3,232.0,221.0,211.5,9.4
2021,전체근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",15472.0,162.8,250.2,234.9,229.5,5.4
2021,전체근로자,전체,전체,19806.0,164.2,327.1,297.4,281.6,15.8
2021,전체근로자(특수형태포함),A,"농업, 임업 및 어업",,,312.6,274.7,267.3,7.4
2021,전체근로자(특수형태포함),B,광업,,,411.9,372.5,334.6,37.9
2021,전체근로자(특수형태포함),C,제조업,,,380.8,335.2,299.8,35.5
2021,전체근로자(특수형태포함),D,"전기, 가스, 증기 및 공기 조절 공급업",,,623.8,480.2,445.5,34.7
2021,전체근로자(특수형태포함),E,"수도, 하수 및 폐기물 처리, 원료 재생업",,,377.0,348.7,317.5,31.2
2021,전체근로자(특수형태포함),F,건설업,,,288.6,278.4,270.4,7.9
2021,전체근로자(특수형태포함),G,도매 및 소매업,,,302.8,283.7,277.4,6.4
2021,전체근로자(특수형태포함),H,운수 및 창고업,,,354.0,326.5,304.2,22.3
2021,전체근로자(특수형태포함),I,숙박 및 음식점업,,,160.2,157.8,153.1,4.7
2021,전체근로자(특수형태포함),J,정보통신업,,,433.2,396.9,384.3,12.5
2021,전체근로자(특수형태포함),K,금융 및 보험업,,,519.4,419.8,410.4,9.4
2021,전체근로자(특수형태포함),L,부동산업,,,259.3,244.1,239.4,4.7
2021,전체근로자(특수형태포함),M,"전문, 과학 및 기술 서비스업",,,451.7,399.0,386.2,12.8
2021,전체근로자(특수형태포함),N,"사업시설 관리, 사업 지원 및 임대 서비스업",,,295.1,274.8,261.4,13.3
2021,전체근로자(특수형태포함),P,교육 서비스업,,,283.7,269.8,266.4,3.4
2021,전체근로자(특수형태포함),Q,보건업 및 사회복지서비스업,,,258.4,248.5,239.0,9.5
2021,전체근로자(특수형태포함),R,"예술, 스포츠 및 여가관련 서비스업",,,241.7,232.3,224.3,8.0
2021,전체근로자(특수형태포함),S,"협회 및 단체, 수리 및 기타 개인 서비스업",,,248.0,234.0,229.0,4.9
2021,전체근로자(특수형태포함),전체,전체,,,325.0,296.7,281.7,15.0
2021,정규근로자,A,"농업, 임업 및 어업",21584.0,177.9,379.3,325.5,318.3,7.2
2021,정규근로자,B,광업,22575.0,197.8,428.8,385.6,345.4,40.2
2021,정규근로자,C,제조업,21656.0,188.0,401.2,350.4,314.1,36.3
2021,정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",37275.0,178.8,659.2,502.0,465.2,36.7
2021,정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",21357.0,189.3,396.5,365.2,332.3,32.9
2021,정규근로자,F,건설업,20625.0,178.1,368.9,349.2,336.0,13.2
2021,정규근로자,G,도매 및 소매업,19981.0,178.1,354.2,328.9,321.3,7.6
2021,정규근로자,H,운수 및 창고업,20955.0,174.2,356.2,320.3,295.3,25.0
2021,정규근로자,I,숙박 및 음식점업,12837.0,184.3,234.6,229.7,222.0,7.6
2021,정규근로자,J,정보통신업,25576.0,177.7,455.8,416.0,402.4,13.6
2021,정규근로자,K,금융 및 보험업,35931.0,177.4,633.0,478.4,464.1,14.3
2021,정규근로자,L,부동산업,20543.0,175.5,358.9,320.6,314.8,5.8
2021,정규근로자,M,"전문, 과학 및 기술 서비스업",26884.0,176.8,475.1,417.0,403.4,13.6
2021,정규근로자,N,"사업시설 관리, 사업 지원 및 임대 서비스업",18387.0,176.8,323.3,298.3,283.2,15.1
2021,정규근로자,P,교육 서비스업,24510.0,171.0,414.2,385.1,378.9,6.2
2021,정규근로자,Q,보건업 및 사회복지서비스업,17470.0,176.4,308.2,294.9,282.8,12.1
2021,정규근로자,R,"예술, 스포츠 및 여가관련 서비스업",17424.0,175.3,302.0,283.5,269.8,13.6
2021,정규근로자,S,"협회 및 단체, 수리 및 기타 개인 서비스업",15850.0,177.0,278.3,259.8,253.4,6.4
2021,정규근로자,전체,전체,21230.0,180.2,379.5,341.0,322.2,18.8
2022,비정규근로자,A,"농업, 임업 및 어업",15834.0,127.1,187.4,180.0,171.1,8.9
2022,비정규근로자,B,광업,16773.0,142.1,236.7,233.7,208.9,24.8
2022,비정규근로자,C,제조업,15607.0,152.9,232.4,224.9,189.4,35.5
2022,비정규근로자,D,"전기, 가스, 증기 및 공기 조절 공급업",20613.0,161.6,329.0,308.4,286.4,22.1
2022,비정규근로자,E,"수도, 하수 및 폐기물 처리, 원료 재생업",17036.0,148.1,235.7,229.9,202.9,27.0
2022,비정규근로자,F,건설업,24857.0,91.4,223.3,222.3,218.5,3.8
2022,비정규근로자,G,도매 및 소매업,13240.0,104.7,140.1,137.3,133.2,4.2
2022,비정규근로자,H,운수 및 창고업,16850.0,143.7,236.5,232.3,201.4,31.0
2022,비정규근로자,I,숙박 및 음식점업,11805.0,86.2,102.4,102.0,97.8,4.2
2022,비정규근로자,J,정보통신업,16915.0,131.3,224.1,218.5,214.4,4.1
2022,비정규근로자,K,금융 및 보험업,30253.0,153.6,468.2,354.6,345.9,8.7
2022,비정규근로자,L,부동산업,12816.0,167.6,208.1,206.7,202.1,4.7
2022,비정규근로자,M,"전문, 과학 및 기술 서비스업",20006.0,132.8,262.6,254.8,250.3,4.5
