지표명,구분유형,sex,agegroup,값,단위,se,n,출처,조사연도
EQ5D_통증문제,성별,2.0,,32.1,%,,124834.0,CHS 2025,2025
EQ5D_통증문제,연령대,,19-29,10.4,%,,19525.0,CHS 2025,2025
EQ5D_통증문제,연령대,,30-39,15.3,%,,24228.0,CHS 2025,2025
EQ5D_통증문제,연령대,,40-49,21.2,%,,31383.0,CHS 2025,2025
EQ5D_통증문제,연령대,,50-59,27.4,%,,42645.0,CHS 2025,2025
EQ5D_통증문제,연령대,,60-69,34.3,%,,53396.0,CHS 2025,2025
EQ5D_통증문제,연령대,,70+,52.9,%,,60436.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,19-29,10.5,%,,9695.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,30-39,13.7,%,,12063.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,40-49,19.8,%,,14971.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,50-59,23.0,%,,19838.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,60-69,27.9,%,,24917.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,1.0,70+,41.2,%,,25295.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,19-29,10.3,%,,9830.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,30-39,17.0,%,,12165.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,40-49,22.6,%,,16412.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,50-59,31.9,%,,22807.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,60-69,40.0,%,,28479.0,CHS 2025,2025
EQ5D_통증문제,성별×연령대,2.0,70+,62.2,%,,35141.0,CHS 2025,2025
