year,ksic_section,industry,owner_group,소멸,소멸률,신생,신생률,활동
2011,R,"예술, 스포츠 및 여가관련 서비스업",60대,1658.0,18.4,1639.0,18.2,8994.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",70대 이상,466.0,18.8,469.0,18.9,2481.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",계,24998.0,21.4,29791.0,25.5,116614.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",남자,14081.0,22.4,16153.0,25.7,62754.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",여자,10917.0,20.3,13638.0,25.3,53860.0
2011,R,"예술, 스포츠 및 여가관련 서비스업",연령미상,137.0,25.0,133.0,24.3,548.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",30대,8099.0,14.2,12459.0,21.9,56872.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",30대 미만,2089.0,20.0,4019.0,38.5,10440.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",40대,9563.0,11.0,12456.0,14.3,87251.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",50대,7533.0,11.1,7493.0,11.1,67623.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",60대,2536.0,12.4,2059.0,10.0,20494.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",70대 이상,567.0,15.2,368.0,9.9,3722.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",계,30575.0,12.4,39072.0,15.8,247417.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",남자,13661.0,11.3,15937.0,13.1,121252.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",여자,16914.0,13.4,23135.0,18.3,126165.0
2011,S,"협회 및 단체, 수리 및 기타 개인서비스업",연령미상,188.0,18.5,218.0,21.5,1015.0
2011,전체,전체,30대,149746.0,17.1,210263.0,24.0,876051.0
2011,전체,전체,30대 미만,44873.0,24.9,70838.0,39.3,180439.0
2011,전체,전체,40대,216973.0,12.8,262804.0,15.5,1695183.0
2011,전체,전체,50대,174974.0,10.8,183680.0,11.4,1616066.0
2011,전체,전체,60대,66586.0,10.0,56871.0,8.5,668036.0
2011,전체,전체,70대 이상,28321.0,11.0,17673.0,6.9,257320.0
2011,전체,전체,계,689550.0,12.9,812455.0,15.2,5344863.0
