year,industry,ksic_section,owner_group,item,value
2017,전체,전체,30대,신생,209871.0
2017,전체,전체,30대,소멸,130790.0
2017,전체,전체,30대,신생률,24.8
2017,전체,전체,30대,소멸률,15.4
2018,전체,전체,30대,활동,856067.0
2018,전체,전체,30대,신생,205630.0
2018,전체,전체,30대,소멸,129003.0
2018,전체,전체,30대,신생률,24.0
2018,전체,전체,30대,소멸률,15.1
2019,전체,전체,30대,활동,854966.0
2019,전체,전체,30대,신생,208786.0
2019,전체,전체,30대,소멸,127807.0
2019,전체,전체,30대,신생률,24.4
2019,전체,전체,30대,소멸률,14.9
2020,전체,전체,30대,활동,860669.0
2020,전체,전체,30대,신생,213591.0
2020,전체,전체,30대,소멸,127380.0
2020,전체,전체,30대,신생률,24.8
2020,전체,전체,30대,소멸률,14.8
2021,전체,전체,30대,활동,868595.0
2021,전체,전체,30대,신생,212124.0
2021,전체,전체,30대,소멸,122328.0
2021,전체,전체,30대,신생률,24.4
2021,전체,전체,30대,소멸률,14.1
2022,전체,전체,30대,활동,882034.0
2022,전체,전체,30대,신생,208845.0
2022,전체,전체,30대,소멸,126551.0
2022,전체,전체,30대,신생률,23.7
2022,전체,전체,30대,소멸률,14.3
2023,전체,전체,30대,활동,897856.0
2023,전체,전체,30대,신생,209441.0
2023,전체,전체,30대,소멸,137150.0
2023,전체,전체,30대,신생률,23.3
2023,전체,전체,30대,소멸률,15.3
2024,전체,전체,30대,활동,898434.0
2024,전체,전체,30대,신생,196830.0
2024,전체,전체,30대,신생률,21.9
2011,전체,전체,40대,활동,1695183.0
2011,전체,전체,40대,신생,262804.0
2011,전체,전체,40대,소멸,216973.0
2011,전체,전체,40대,신생률,15.5
2011,전체,전체,40대,소멸률,12.8
2012,전체,전체,40대,활동,1678455.0
2012,전체,전체,40대,신생,250205.0
2012,전체,전체,40대,소멸,226284.0
2012,전체,전체,40대,신생률,14.9
2012,전체,전체,40대,소멸률,13.5
2013,전체,전체,40대,활동,1661774.0
2013,전체,전체,40대,신생,245515.0
2013,전체,전체,40대,소멸,204970.0
2013,전체,전체,40대,신생률,14.8
2013,전체,전체,40대,소멸률,12.3
2014,전체,전체,40대,활동,1682143.0
2014,전체,전체,40대,신생,269757.0
2014,전체,전체,40대,소멸,210746.0
2014,전체,전체,40대,신생률,16.0
2014,전체,전체,40대,소멸률,12.5
