year,emp_type,age_group,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2009,비정규근로자,60세이상,6627.0,190.4,112.8,111.4,108.9,2.5
2009,비정규근로자,전체,7785.0,167.4,123.2,120.2,116.7,3.5
2009,비정규직근로자(특수형태포함),29세이하,,,105.1,102.5,99.0,3.5
2009,비정규직근로자(특수형태포함),30~39세,,,151.7,147.5,144.0,3.5
2009,비정규직근로자(특수형태포함),40~49세,,,158.3,155.1,152.7,2.4
2009,비정규직근로자(특수형태포함),50~59세,,,154.3,150.7,148.3,2.4
2009,비정규직근로자(특수형태포함),60세이상,,,110.0,108.6,106.3,2.3
2009,비정규직근로자(특수형태포함),전체,,,137.3,134.1,131.2,2.9
2009,전체근로자,29세이하,8828.0,184.0,161.1,143.6,134.7,9.0
2009,전체근로자,30~39세,13439.0,189.3,246.6,210.0,198.5,11.5
2009,전체근로자,40~49세,14600.0,190.4,269.8,227.3,213.4,13.9
2009,전체근로자,50~59세,13361.0,191.9,247.0,214.3,202.7,11.6
2009,전체근로자,60세이상,8891.0,196.2,162.2,152.4,148.8,3.6
2009,전체근로자,전체,12382.0,189.0,227.7,196.0,184.9,11.1
2009,전체근로자(특수형태포함),29세이하,,,161.0,143.8,135.1,8.8
2009,전체근로자(특수형태포함),30~39세,,,244.7,209.4,198.4,11.0
2009,전체근로자(특수형태포함),40~49세,,,268.2,228.1,215.1,13.0
2009,전체근로자(특수형태포함),50~59세,,,246.0,214.7,203.8,10.9
2009,전체근로자(특수형태포함),60세이상,,,158.2,148.9,145.5,3.4
2009,전체근로자(특수형태포함),전체,,,226.9,196.4,185.8,10.6
2009,정규근로자,29세이하,9895.0,194.4,187.0,163.1,151.9,11.2
2009,정규근로자,30~39세,14293.0,193.2,267.1,224.2,211.4,12.8
2009,정규근로자,40~49세,16287.0,197.4,308.2,254.6,237.7,16.9
2009,정규근로자,50~59세,15203.0,200.2,289.1,244.9,229.9,14.9
2009,정규근로자,60세이상,10787.0,201.1,203.6,186.7,182.3,4.5
2009,정규근로자,전체,13828.0,195.7,260.6,219.9,206.3,13.5
2010,비정규근로자,29세이하,6627.0,155.7,101.4,99.7,95.8,4.0
2010,비정규근로자,30~39세,9653.0,166.1,143.0,138.7,133.7,5.0
2010,비정규근로자,40~49세,9199.0,162.3,134.2,131.3,127.8,3.5
2010,비정규근로자,50~59세,8769.0,168.1,134.3,132.1,128.9,3.2
2010,비정규근로자,60세이상,7177.0,183.2,117.7,116.3,113.5,2.8
2010,비정규근로자,전체,8236.0,164.2,124.4,121.9,118.1,3.8
2010,비정규직근로자(특수형태포함),29세이하,,,106.6,105.1,101.4,3.7
2010,비정규직근로자(특수형태포함),30~39세,,,158.9,155.1,151.3,3.8
2010,비정규직근로자(특수형태포함),40~49세,,,160.1,156.6,153.9,2.6
2010,비정규직근로자(특수형태포함),50~59세,,,145.9,143.0,140.3,2.7
2010,비정규직근로자(특수형태포함),60세이상,,,115.5,114.0,111.4,2.5
2010,비정규직근로자(특수형태포함),전체,,,138.7,136.0,132.8,3.2
2010,전체근로자,29세이하,9185.0,180.3,163.6,148.2,138.9,9.3
2010,전체근로자,30~39세,14099.0,187.6,254.0,218.3,205.8,12.5
2010,전체근로자,40~49세,15044.0,189.2,273.4,232.9,218.4,14.5
2010,전체근로자,50~59세,13666.0,190.5,249.1,217.3,204.2,13.1
2010,전체근로자,60세이상,9165.0,192.8,164.0,155.0,150.9,4.0
2010,전체근로자,전체,12878.0,187.0,232.6,202.3,190.4,11.9
2010,전체근로자(특수형태포함),29세이하,,,163.8,148.8,139.8,9.1
2010,전체근로자(특수형태포함),30~39세,,,252.1,217.9,205.9,11.9
2010,전체근로자(특수형태포함),40~49세,,,271.7,233.3,219.7,13.6
2010,전체근로자(특수형태포함),50~59세,,,246.8,216.4,204.0,12.4
2010,전체근로자(특수형태포함),60세이상,,,160.5,151.8,148.0,3.8
2010,전체근로자(특수형태포함),전체,,,231.6,202.5,191.2,11.4
2010,정규근로자,29세이하,10373.0,191.7,192.5,170.8,159.0,11.8
2010,정규근로자,30~39세,14921.0,191.6,274.5,233.0,219.1,13.9
2010,정규근로자,40~49세,16669.0,196.7,312.1,261.1,243.5,17.6
2010,정규근로자,50~59세,15644.0,199.6,295.5,251.7,234.7,17.0
2010,정규근로자,60세이상,10940.0,201.3,205.4,189.6,184.4,5.1
