year,emp_type_code,emp_type,시간당임금총액_원,총근로시간_h,월임금총액_만원,월급여액_만원,정액급여_만원,초과급여_만원
2017,10,기간제근로자,12878.0,182.6,228.6,219.0,199.7,19.3
2017,11,한시적근로자,9226.0,152.3,139.7,138.9,136.1,2.8
2018,00,전체근로자,19522.0,156.4,302.8,270.2,254.2,16.0
2018,01,전체근로자(특수형태포함),,,300.8,269.7,254.4,15.3
2018,02,정규근로자,21203.0,169.7,351.0,308.6,289.4,19.1
2018,03,비정규근로자,14492.0,116.3,158.8,155.4,148.7,6.7
2018,04,비정규근로자(특수형태포함),,,175.5,172.7,167.1,5.6
2018,05,특수형태근로종사자,,,260.1,259.8,259.8,
2018,06,재택/가내근로자,12694.0,123.2,156.9,151.4,150.0,1.4
2018,07,파견/용역근로자,12021.0,165.4,190.8,186.4,175.7,10.7
2018,08,일일근로자,17180.0,90.8,156.2,156.2,155.1,1.1
2018,09,단시간근로자,13402.0,79.2,89.8,88.6,87.4,1.2
2018,10,기간제근로자,14680.0,170.3,243.5,233.9,215.2,18.7
2018,11,한시적근로자,10046.0,132.4,132.5,131.7,128.3,3.4
2019,00,전체근로자,20573.0,152.4,313.8,280.8,265.4,15.4
2019,01,전체근로자(특수형태포함),,,311.5,280.0,265.4,14.7
2019,02,정규근로자,22193.0,165.2,361.2,318.8,300.6,18.2
2019,03,비정규근로자,15472.0,112.1,164.3,161.1,154.6,6.5
2019,04,비정규근로자(특수형태포함),,,181.1,178.3,173.0,5.4
2019,05,특수형태근로종사자,,,265.3,265.2,265.2,
2019,06,재택/가내근로자,14288.0,112.5,157.8,150.0,149.1,0.9
2019,07,파견/용역근로자,12809.0,163.7,202.7,199.4,188.2,11.1
2019,08,일일근로자,18297.0,85.0,156.9,156.9,156.4,0.5
2019,09,단시간근로자,14423.0,76.0,93.9,92.9,91.9,1.0
2019,10,기간제근로자,15501.0,160.6,244.0,234.7,217.4,17.3
2019,11,한시적근로자,11393.0,112.0,125.9,125.0,123.6,1.4
2020,00,전체근로자,19316.0,163.6,318.0,286.6,272.3,14.3
2020,01,전체근로자(특수형태포함),,,316.1,286.2,272.7,13.6
2020,02,정규근로자,20731.0,179.8,369.3,328.6,311.6,17.0
2020,03,비정규근로자,15015.0,114.0,162.0,158.8,152.9,5.9
2020,04,비정규근로자(특수형태포함),,,182.8,180.1,175.2,4.9
2020,05,특수형태근로종사자,,,279.9,279.8,279.8,
2020,06,재택/가내근로자,13744.0,116.7,155.6,153.3,152.2,1.1
2020,07,파견/용역근로자,12338.0,173.5,208.5,206.2,195.9,10.2
2020,08,일일근로자,18499.0,79.6,148.7,148.7,148.1,0.6
2020,09,단시간근로자,13594.0,79.4,95.2,94.3,93.2,1.1
2020,10,기간제근로자,14719.0,172.7,250.7,240.5,223.7,16.8
2020,11,한시적근로자,11566.0,118.9,133.3,132.3,130.8,1.5
2021,00,전체근로자,19806.0,164.2,327.1,297.4,281.6,15.8
2021,01,전체근로자(특수형태포함),,,325.0,296.7,281.7,15.0
2021,02,정규근로자,21230.0,180.2,379.5,341.0,322.2,18.8
2021,03,비정규근로자,15482.0,115.4,168.1,164.9,158.3,6.7
2021,04,비정규근로자(특수형태포함),,,187.9,185.3,179.8,5.5
2021,05,특수형태근로종사자,,,284.1,284.0,284.0,
2021,06,재택/가내근로자,12945.0,117.2,155.9,154.0,151.3,2.7
2021,07,파견/용역근로자,12421.0,173.3,210.0,207.9,198.2,9.7
2021,08,일일근로자,19283.0,80.2,156.6,156.6,156.0,0.6
2021,09,단시간근로자,14220.0,78.6,96.2,95.3,94.2,1.2
2021,10,기간제근로자,15069.0,175.7,262.1,252.1,232.4,19.7
2021,11,한시적근로자,12068.0,118.0,138.6,137.9,136.5,1.4
2022,00,전체근로자,22651.0,154.9,352.6,317.2,299.2,18.0
2022,01,전체근로자(특수형태포함),,,350.6,316.6,299.4,17.2
2022,02,정규근로자,24409.0,169.0,407.8,362.3,341.2,21.1
2022,03,비정규근로자,17233.0,111.7,182.6,178.2,169.9,8.3
2022,04,비정규근로자(특수형태포함),,,200.0,196.2,189.1,7.1
2022,05,특수형태근로종사자,,,303.1,303.0,303.0,
2022,06,재택/가내근로자,13762.0,113.0,159.7,156.7,152.7,4.0
2022,07,파견/용역근로자,13558.0,167.1,220.3,217.3,206.3,10.9
2022,08,일일근로자,21416.0,79.9,172.0,172.0,170.2,1.8
2022,09,단시간근로자,15515.0,76.1,102.7,101.7,99.9,1.8
2022,10,기간제근로자,17517.0,167.1,289.2,275.1,252.5,22.6
2022,11,한시적근로자,12638.0,116.2,150.9,149.5,145.7,3.8
2023,00,전체근로자,22878.0,157.6,364.0,326.7,308.5,18.2
2023,01,전체근로자(특수형태포함),,,362.4,326.6,309.1,17.5
2023,02,정규근로자,24799.0,174.5,428.0,378.7,356.8,22.0
2023,03,비정규근로자,17586.0,111.0,187.6,183.2,175.3,7.9
2023,04,비정규근로자(특수형태포함),,,206.1,202.3,195.5,6.8
2023,05,특수형태근로종사자,,,323.5,323.4,323.4,
2023,06,재택/가내근로자,14523.0,114.7,161.7,159.0,154.8,4.1
2023,07,파견/용역근로자,13952.0,170.9,233.8,231.0,221.0,10.0
2023,08,일일근로자,21907.0,80.0,177.1,177.1,175.5,1.5
2023,09,단시간근로자,15741.0,74.0,104.9,104.0,102.5,1.4
2023,10,기간제근로자,17972.0,169.7,300.2,286.5,264.3,22.2
2023,11,한시적근로자,12971.0,118.5,155.6,154.9,151.1,3.9
2024,00,전체근로자,25156.0,146.8,373.7,337.4,318.6,18.8
2024,01,전체근로자(특수형태포함),,,371.7,336.9,318.9,18.0
2024,02,정규근로자,27703.0,162.2,442.7,394.2,371.4,22.8
2024,03,비정규근로자,18404.0,105.8,190.9,186.8,178.7,8.2
2024,04,비정규근로자(특수형태포함),,,208.9,205.5,198.4,7.1
2024,05,특수형태근로종사자,,,325.2,325.1,325.1,
2024,06,재택/가내근로자,14917.0,112.1,166.9,164.5,162.6,1.9
2024,07,파견/용역근로자,15414.0,164.4,242.7,240.1,228.7,11.3
2024,08,일일근로자,23292.0,79.0,187.3,187.3,185.6,1.7
2024,09,단시간근로자,15883.0,71.9,105.3,104.4,102.7,1.6
2024,10,기간제근로자,19588.0,159.4,308.9,296.2,273.4,22.8
2024,11,한시적근로자,14066.0,113.0,162.4,161.8,158.8,3.0
2025,00,전체근로자,25839.0,146.3,383.4,346.9,326.1,20.8
2025,01,전체근로자(특수형태포함),,,381.4,346.3,326.3,20.0
2025,02,정규근로자,28599.0,162.1,456.7,407.8,382.4,25.5
2025,03,비정규근로자,18635.0,104.8,192.1,188.0,179.2,8.8
2025,04,비정규근로자(특수형태포함),,,209.9,206.4,198.7,7.7
2025,05,특수형태근로종사자,,,331.9,331.8,331.8,
2025,06,재택/가내근로자,14913.0,110.6,170.2,167.7,165.9,1.8
2025,07,파견/용역근로자,15701.0,162.9,248.5,245.7,233.6,12.0
2025,08,일일근로자,23490.0,81.0,191.4,191.4,189.6,1.8
2025,09,단시간근로자,16256.0,71.3,108.0,106.9,105.2,1.8
2025,10,기간제근로자,20097.0,159.0,315.8,302.8,277.4,25.4
2025,11,한시적근로자,14591.0,112.8,166.5,165.8,162.7,3.1
